Ix;Type;A (signed);B (signed)
319;0;140;-708
320;2;150;-662
321;0;149;-173
322;0;140;-7
323;2;143;-607
324;2;146;-508
325;2;137;-39
326;2;136;108
327;2;144;-138
328;2;150;-227
329;2;141;289
330;2;148;709
331;2;139;665
332;0;140;407
333;0;146;612
334;2;141;974
335;0;142;868
336;0;147;513
337;0;143;466
338;2;148;741
339;2;140;767
340;0;147;405
341;0;149;136
342;2;141;236
343;2;149;298
344;2;141;-26
345;2;136;-373
346;2;141;-280
347;2;145;-53
348;2;144;-64
349;2;142;-317
350;2;145;-272
351;2;136;79
352;2;152;175
353;2;146;31
354;2;148;-37
355;2;145;277
356;2;148;558
357;2;146;531
358;2;144;413
359;2;149;540
360;2;147;788
361;2;142;718
362;0;148;455
363;0;141;388
364;2;151;509
365;2;143;512
366;2;148;243
367;2;147;75
368;2;145;169
369;2;141;212
370;2;146;5
371;2;141;-232
372;2;152;-198
373;2;141;-46
374;2;142;-63
375;2;146;-202
376;2;141;-127
377;2;141;120
378;2;133;227
379;2;146;124
380;2;140;109
381;2;140;310
382;2;135;499
383;2;142;440
384;2;142;348
385;2;146;460
386;2;141;625
387;2;142;577
388;0;141;380
389;2;136;324
390;2;145;388
391;2;147;375
392;2;146;168
393;2;148;37
394;2;144;95
395;2;144;127
396;2;149;11
397;2;145;-126
398;2;148;-95
399;2;147;18
400;2;143;-4
401;2;139;-91
402;2;145;-57
403;2;147;123
404;2;140;219
405;2;151;198
406;2;139;195
407;2;143;334
408;2;141;447
409;2;139;408
410;2;140;326
411;2;139;390
412;2;141;477
413;2;146;454
414;2;148;326
415;2;140;292
416;2;149;316
417;2;143;286
418;2;146;146
419;2;148;48
420;2;148;80
421;2;144;111
422;2;142;18
423;2;141;-60
424;2;143;-36
425;2;146;56
426;2;144;62
427;2;147;-2
428;2;146;31
429;2;143;153
430;2;146;234
431;2;141;216
432;2;141;216
433;2;139;316
434;2;139;402
435;2;142;382
436;2;147;318
437;2;145;337
438;2;147;373
439;2;146;359
440;2;143;280
441;2;143;229
442;2;146;240
443;2;151;228
444;2;145;139
445;2;143;61
446;2;138;72
447;2;147;89
448;2;141;32
449;2;145;-16
450;2;136;-15
451;2;145;47
452;2;148;80
453;2;147;60
454;2;140;72
455;2;146;152
456;2;145;211
457;2;149;201
458;2;142;196
459;2;146;256
460;2;145;321
461;2;145;330
462;2;147;264
463;2;141;267
464;2;142;286
465;2;137;282
466;2;148;213
467;2;147;168
468;2;140;171
469;2;138;160
470;2;140;109
471;2;145;55
472;2;148;59
473;2;148;64
474;2;152;49
475;2;148;16
476;2;147;27
477;2;143;71
478;2;148;94
479;2;144;95
480;2;143;118
481;2;146;158
482;2;141;200
483;2;146;210
484;2;141;205
485;2;139;240
486;2;145;280
487;2;147;264
488;2;144;228
489;2;153;239
490;2;149;246
491;2;143;230
492;2;140;186
493;2;142;146
494;2;144;140
495;2;153;134
496;2;137;100
497;2;143;66
498;2;146;67
499;2;148;76
500;2;149;61
501;2;141;57
502;2;144;63
503;2;144;80
504;2;149;119
505;2;143;122
506;2;141;134
507;2;138;170
508;2;141;196
509;2;139;207
510;2;147;195
511;2;142;225
512;2;149;241
513;2;138;231
514;2;141;208
515;2;145;189
516;2;147;195
517;2;144;184
518;2;143;153
519;2;150;124
520;2;145;113
521;2;144;122
522;2;144;90
523;2;143;57
524;2;144;64
525;2;141;81
526;2;152;77
527;2;140;76
528;2;148;78
529;2;142;96
530;2;140;115
531;2;142;122
532;2;142;129
533;2;147;155
534;2;144;185
535;2;144;183
536;2;143;188
537;2;144;196
538;2;142;201
539;2;141;196
540;2;152;182
541;2;144;172
542;2;147;162
543;2;141;157
544;2;146;130
545;2;140;116
546;2;142;108
547;2;146;97
548;2;148;86
549;2;142;62
550;2;145;77
551;2;143;82
552;2;141;82
553;2;150;79
554;2;141;83
555;2;146;111
556;2;144;121
557;2;145;125
558;2;153;132
559;2;143;155
560;2;147;177
561;2;144;171
562;2;142;155
563;2;140;177
564;2;145;181
565;2;143;172
566;2;146;147
567;2;147;149
568;2;147;151
569;2;139;137
570;2;152;128
571;2;141;105
572;2;150;99
573;2;144;101
574;2;149;96
575;2;146;90
576;2;144;92
577;2;145;102
578;2;145;105
579;2;138;92
580;2;154;104
581;2;144;113
582;2;149;142
583;2;144;145
584;2;145;147
585;2;140;157
586;2;140;170
587;2;142;172
588;2;143;158
589;2;138;168
590;2;145;175
591;2;139;171
592;2;144;157
593;2;148;146
594;2;143;143
595;2;144;134
596;2;144;126
597;2;143;117
598;2;140;110
599;2;148;110
600;2;151;119
601;2;137;112
602;2;138;110
603;2;150;111
604;2;140;116
605;2;145;129
606;2;142;130
607;2;150;132
608;2;141;145
609;2;145;155
610;2;151;162
611;2;138;161
612;2;147;167
613;2;151;174
614;2;146;176
615;2;143;164
616;2;141;169
617;2;147;169
618;2;150;169
619;2;145;159
620;2;144;142
621;2;149;135
622;2;148;134
623;2;145;125
624;2;144;125
625;2;149;113
626;2;143;115
627;2;144;123
628;2;142;118
629;2;148;113
630;2;139;130
631;2;141;126
632;2;149;132
633;2;145;135
634;2;143;139
635;2;149;154
636;2;147;145
637;2;146;150
638;2;142;152
639;2;142;154
640;2;139;157
641;2;143;140
642;2;146;141
643;2;151;137
644;2;152;138
645;2;151;145
646;2;141;121
647;2;145;121
648;2;152;106
649;2;148;112
650;2;143;176
651;2;149;183
652;2;144;137
653;2;142;91
654;2;142;64
655;2;145;118
656;2;146;149
657;2;143;106
658;2;149;83
659;2;145;40
660;2;147;124
661;2;138;127
662;2;146;115
663;2;150;122
664;2;149;118
665;2;144;150
666;2;138;142
667;2;150;107
668;2;149;110
669;2;142;124
670;2;145;130
671;2;147;111
672;2;148;90
673;2;145;103
674;2;147;104
675;2;143;120
676;2;144;93
677;2;145;89
678;2;145;93
679;2;145;115
680;2;144;122
681;2;144;105
682;2;141;110
683;2;141;122
684;2;147;132
685;2;150;123
686;2;141;119
687;2;146;131
688;2;151;124
689;2;149;127
690;2;148;118
691;2;145;166
692;2;143;185
693;2;141;119
694;2;147;88
695;2;148;76
696;2;142;123
697;2;147;130
698;2;140;78
699;2;144;78
700;2;149;106
701;2;146;128
702;2;144;76
703;2;137;60
704;2;145;99
705;2;140;114
706;2;142;103
707;2;145;50
708;2;144;67
709;2;142;116
710;2;149;108
711;2;148;64
712;2;145;79
713;2;143;132
714;2;156;140
715;2;142;102
716;2;148;84
717;2;151;98
718;2;148;16
719;2;141;-103
720;2;139;74
721;2;142;263
722;2;144;150
723;2;146;-149
724;2;142;48
725;2;151;-104
726;2;142;93
727;2;149;78
728;2;140;-14
729;2;142;271
730;2;149;549
731;2;147;93
732;2;143;25
733;2;150;117
734;2;140;244
735;2;150;232
736;2;143;-5
737;2;145;105
738;2;148;227
739;2;146;325
740;2;143;138
741;2;138;10
742;2;146;209
743;2;150;248
744;2;145;134
745;2;145;23
746;2;139;91
747;2;144;-5
748;2;139;-22
749;2;146;-22
750;2;146;102
751;2;141;352
752;2;147;128
753;2;145;-18
754;2;147;64
755;2;146;193
756;2;146;239
757;2;148;-6
758;2;147;16
759;2;147;158
760;2;149;229
761;2;147;108
762;2;148;-18
763;2;139;149
764;2;144;258
765;2;142;195
766;2;145;58
767;2;149;80
768;2;139;243
769;2;147;216
770;2;149;74
771;2;143;16
772;2;140;143
773;2;144;250
774;2;140;96
775;2;144;44
776;2;144;76
777;2;153;177
778;2;139;138
779;2;153;3
780;2;146;49
781;2;141;153
782;2;146;178
783;2;148;55
784;2;143;44
785;2;144;170
786;2;144;202
787;2;137;129
788;2;145;53
789;2;142;135
790;2;152;218
791;2;141;160
792;2;136;91
793;2;139;98
794;2;145;205
795;2;141;194
796;2;142;81
797;2;149;61
798;2;140;131
799;2;148;186
800;2;144;95
801;2;147;35
802;2;149;94
803;2;143;166
804;2;145;130
805;2;147;34
806;2;145;65
807;2;141;153
808;2;141;148
809;2;144;73
810;2;145;61
811;2;140;155
812;2;145;186
813;2;149;131
814;2;143;74
815;2;144;130
816;2;143;180
817;2;139;140
818;2;147;84
819;2;144;97
820;2;148;180
821;2;143;163
822;2;144;89
823;2;146;71
824;2;149;136
825;2;146;167
826;2;145;95
827;2;152;48
828;2;148;97
829;2;147;162
830;2;141;131
831;2;136;75
832;2;136;86
833;2;141;144
834;2;149;144
835;2;142;95
836;2;146;84
837;2;141;142
838;2;145;164
839;2;149;115
840;2;139;89
841;2;147;131
842;2;150;187
843;2;151;149
844;2;147;99
845;2;147;104
846;2;138;162
847;2;145;164
848;2;140;103
849;2;143;91
850;2;146;145
851;2;149;160
852;2;146;113
853;2;141;81
854;2;142;109
855;2;148;146
856;2;139;125
857;2;142;91
858;2;140;93
859;2;146;148
860;2;149;141
861;2;142;100
862;2;144;105
863;2;145;139
864;2;146;163
865;2;145;136
866;2;147;120
867;2;148;132
868;2;141;157
869;2;139;141
870;2;146;113
871;2;147;140
872;2;138;153
873;2;145;139
874;2;142;114
875;2;147;116
876;2;150;144
877;2;144;144
878;2;145;109
879;2;142;98
880;2;141;130
881;2;136;148
882;2;146;122
883;2;144;103
884;2;138;119
885;2;147;140
886;2;147;143
887;2;149;113
888;2;137;117
889;2;148;143
890;2;147;168
891;2;139;138
892;2;142;114
893;2;147;130
894;2;141;162
895;2;142;156
896;2;138;122
897;2;145;121
898;2;151;140
899;2;148;150
900;2;150;226
901;2;147;238
902;2;143;199
903;2;138;98
904;2;148;68
905;2;145;108
906;2;146;159
907;2;145;132
908;2;144;81
909;2;147;182
910;2;151;286
911;2;146;265
912;2;141;88
913;2;144;17
914;2;153;90
915;2;141;187
916;2;144;121
917;2;151;43
918;2;146;65
919;2;143;154
920;2;149;120
921;2;142;23
922;2;142;18
923;2;144;128
924;2;141;158
925;2;141;71
926;2;151;19
927;2;143;85
928;2;140;150
929;2;148;91
930;2;145;11
931;2;138;47
932;2;145;129
933;2;146;140
934;2;143;65
935;2;145;54
936;2;148;127
937;2;146;152
938;2;143;93
939;2;151;37
940;2;147;91
941;2;141;141
942;2;150;110
943;2;148;67
944;2;145;89
945;2;146;145
946;2;151;130
947;2;145;57
948;2;144;49
949;2;139;98
950;2;138;121
951;2;144;68
952;2;141;36
953;2;136;113
954;2;144;181
955;2;138;187
956;2;144;124
957;2;144;126
958;2;142;153
959;2;135;178
960;2;141;144
961;2;141;128
962;2;144;165
963;2;139;194
964;2;143;158
965;2;152;111
966;2;141;134
967;2;149;162
968;2;140;158
969;2;146;94
970;2;150;98
971;2;146;133
972;2;138;148
973;2;141;92
974;2;140;66
975;2;147;92
976;2;144;103
977;2;138;83
978;2;140;50
979;2;142;80
980;2;146;110
981;2;147;61
982;2;142;-192
983;2;149;-251
984;2;145;-226
985;2;138;-145
986;2;142;-171
987;2;147;-262
988;2;137;-240
989;2;143;-143
990;2;148;-127
991;2;149;-211
992;2;148;-221
993;2;146;-131
994;2;144;-85
995;2;142;-147
996;2;143;-186
997;2;145;-136
998;2;147;-48
999;2;144;-83
1000;2;150;-135
1001;2;141;-105
1002;2;141;-17
1003;2;147;12
1004;2;142;-43
1005;2;142;-56
1006;2;139;12
1007;2;152;61
1008;2;144;18
1009;2;141;-19
1010;2;152;35
1011;2;141;96
1012;2;144;67
1013;2;150;14
1014;2;146;21
1015;2;144;91
1016;2;145;89
1017;2;146;49
1018;2;144;52
1019;2;144;102
1020;2;144;149
1021;2;142;126
1022;2;145;113
1023;3;145;148
1024;0;150;-881
