Ix|Type|A|B
 0| 0|-994|111
 1| 2|-516|112
 2| 2|-544|104
 3| 2|-294|107
 4| 2|152|104
 5| 2|170|113
 6| 2|-151|104
 7| 2|-26|109
 8| 2|429|103
 9| 2|561|107
10| 2|196|108
11| 2|-54|109
12| 2|133|106
13| 2|308|105
14| 2|26|106
15| 2|-196|96
16| 2|10|106
17| 2|259|106
18| 2|168|98
19| 2|-58|101
20| 2|98|110
21| 2|307|107
22| 2|273|104
23| 2|88|99
24| 2|270|104
25| 2|622|101
26| 2|677|96
27| 2|498|96
28| 2|529|101
29| 2|796|100
30| 2|881|107
31| 2|604|108
32| 2|453|114
33| 2|666|103
34| 2|787|107
35| 2|615|106
36| 2|383|113
37| 2|364|108
38| 2|482|103
39| 2|380|109
40| 2|172|109
41| 2|188|103
42| 2|300|100
43| 2|275|111
44| 2|177|105
45| 2|96|100
46| 2|-116|98
47| 2|-89|107
48| 2|-88|106
49| 2|143|104
50| 2|339|100
51| 2|375|106
52| 2|345|102
53| 2|520|107
54| 2|693|103
55| 2|655|101
56| 2|467|113
57| 2|427|116
58| 2|447|110
59| 2|235|105
60| 2|-204|103
61| 2|-131|110
62| 2|141|113
63| 2|308|107
64| 2|161|111
65| 2|24|105
66| 2|195|105
67| 2|424|109
68| 2|329|103
69| 2|106|114
70| 2|-23|107
71| 2|-237|101
72| 2|4|117
73| 2|-8|113
74| 2|273|101
75| 2|316|112
76| 2|278|112
77| 2|314|110
78| 2|524|108
79| 2|644|105
80| 2|533|108
81| 2|521|105
82| 2|607|111
83| 2|663|98
84| 2|596|107
85| 2|220|110
86| 2|364|110
87| 2|401|105
88| 2|371|108
89| 2|189|108
90| 2|189|107
91| 2|254|108
92| 2|125|108
93| 2|189|117
94| 2|960|108
95| 2|3400|94
96| 2|3599|113
97| 0|2697|107
98| 0|1297|109
99| 0|-16|105
100| 2|7518|92
101| 2|-6006|105
102| 0|175|109
103| 0|-7407|106
104| 2|1695|106
105| 0|-1180|110
106| 2|-5030|102
107| 2|-566|114
108| 0|6485|110
109| 2|4100|111
110| 0|-2720|103
111| 0|-321|106
112| 0|6149|107
113| 2|4861|112
114| 0|-2637|104
115| 0|-5259|102
116| 0|518|110
117| 0|3401|111
118| 2|-2628|106
119| 0|-5356|109
120| 0|-1022|113
121| 0|3127|106
122| 2|-566|108
123| 0|-4346|98
124| 2|-1399|109
125| 0|2114|97
126| 2|806|107
127| 0|-2916|104
128| 2|-179|106
129| 0|4562|105
130| 2|3320|107
131| 0|-50|103
132| 0|-8|106
133| 2|4219|109
134| 2|4073|105
135| 0|-754|108
136| 0|-1701|105
137| 2|2220|105
138| 2|3940|112
139| 0|-32|113
140| 0|-2646|116
141| 2|-227|108
142| 0|1903|109
143| 2|-538|105
144| 0|-3903|113
145| 2|-2179|105
146| 0|761|105
147| 0|-127|107
148| 2|-2329|106
149| 2|-1559|106
150| 0|1407|110
151| 2|1197|103
152| 2|-1323|108
153| 2|-1063|110
154| 2|1931|114
155| 2|2598|101
156| 0|282|107
157| 0|-25|108
158| 2|2468|102
159| 2|3600|107
160| 0|1160|103
161| 0|-881|106
162| 2|751|107
163| 2|2222|114
164| 2|614|103
165| 0|-1525|102
166| 2|-745|107
167| 2|1109|105
168| 2|391|101
169| 2|-1780|110
170| 2|-1841|106
171| 2|-55|104
172| 2|-95|113
173| 2|-1684|112
174| 2|-1567|102
175| 2|277|104
176| 2|1101|105
177| 2|-165|104
178| 2|-583|103
179| 2|1045|110
180| 2|1927|103
181| 2|738|109
182| 0|-156|110
183| 2|1075|108
184| 2|2336|105
185| 2|1551|102
186| 0|128|103
187| 2|461|103
188| 2|1617|107
189| 2|948|104
190| 2|-652|104
191| 2|-802|110
192| 2|220|109
193| 2|320|103
194| 2|-889|107
195| 2|-1229|105
196| 2|-243|109
197| 2|128|95
198| 2|-815|105
199| 2|-1252|104
200| 2|-286|106
201| 2|488|106
202| 2|73|103
203| 2|-393|103
204| 2|440|100
205| 2|1436|104
206| 2|1048|99
207| 2|262|107
208| 2|580|103
209| 2|1424|106
210| 2|1251|114
211| 2|373|108
212| 2|305|110
213| 2|1013|98
214| 2|1027|102
215| 2|67|107
216| 2|-400|97
217| 2|40|111
218| 2|168|108
219| 2|-484|110
220| 2|-930|109
221| 2|-441|109
222| 2|16|109
223| 2|-336|102
224| 2|-732|107
225| 2|-305|98
226| 2|299|102
227| 2|139|104
228| 2|-245|100
229| 2|87|103
230| 2|821|103
231| 2|919|103
232| 2|477|107
233| 2|511|103
234| 2|1031|104
235| 2|1096|108
236| 2|546|107
237| 2|256|101
238| 2|594|102
239| 2|743|106
240| 2|296|104
241| 2|-90|109
242| 2|68|115
243| 2|242|105
244| 2|-134|99
245| 2|-555|104
246| 2|-445|104
247| 2|-119|102
248| 2|-218|107
249| 2|-473|101
250| 2|-294|105
251| 2|156|98
252| 2|240|108
253| 2|-9|108
254| 2|65|110
255| 2|482|108
256| 2|674|107
257| 2|437|108
258| 2|378|111
259| 2|692|111
260| 2|889|108
261| 2|656|106
262| 2|371|105
263| 2|463|110
264| 2|582|118
265| 2|338|106
266| 2|5|102
267| 2|12|112
268| 2|168|112
269| 2|46|109
270| 2|-245|105
271| 2|-280|111
272| 2|-100|110
273| 2|-84|101
274| 2|-286|107
275| 2|-278|108
276| 2|-3|108
277| 2|170|112
278| 2|89|97
279| 2|81|103
280| 2|341|110
281| 2|531|103
282| 2|446|100
283| 2|334|107
284| 2|478|102
285| 2|645|115
286| 2|580|104
287| 2|391|104
288| 2|392|106
289| 2|484|108
290| 2|394|100
291| 2|139|108
292| 2|46|100
293| 2|117|108
294| 2|66|106
295| 2|-111|105
296| 2|-176|110
297| 2|-76|91
298| 2|-18|108
299| 2|-116|104
300| 2|-174|107
301| 2|-40|103
302| 2|100|102
303| 2|88|97
304| 2|76|104
305| 2|216|111
306| 2|389|109
307| 2|398|110
308| 2|338|110
309| 2|375|108
310| 2|485|110
311| 2|486|101
312| 2|361|105
313| 2|321|100
314| 2|372|109
315| 2|359|104
316| 2|210|107
317| 2|119|104
318| 2|122|103
319| 2|105|110
320| 2|-6|111
321| 2|-99|108
322| 2|-72|110
323| 2|-11|103
324| 2|-28|109
325| 2|-80|113
326| 2|-10|102
327| 2|95|102
328| 2|111|110
329| 2|91|112
330| 2|159|106
331| 2|272|103
332| 2|329|104
333| 2|295|106
334| 2|330|111
335| 2|404|106
336| 2|425|101
337| 2|350|112
338| 2|301|103
339| 2|309|106
340| 2|312|110
341| 2|225|103
342| 2|159|109
343| 2|135|111
344| 2|138|102
345| 2|68|104
346| 2|-7|102
347| 2|-20|110
348| 2|15|102
349| 2|17|102
350| 2|-28|110
351| 2|3|109
352| 2|75|106
353| 2|111|102
354| 2|121|105
355| 2|144|105
356| 2|224|111
357| 2|261|99
358| 2|269|99
359| 2|272|107
360| 2|326|97
361| 2|354|104
362| 2|332|100
363| 2|296|102
364| 2|294|109
365| 2|286|113
366| 2|237|105
367| 2|174|107
368| 2|144|101
369| 2|137|113
370| 2|108|99
371| 2|58|111
372| 2|27|102
373| 2|56|106
374| 2|48|105
375| 2|27|106
376| 2|21|105
377| 2|64|105
378| 2|114|92
379| 2|123|102
380| 2|142|107
381| 2|185|104
382| 2|224|102
383| 2|242|99
384| 2|251|110
385| 2|268|102
386| 2|284|108
387| 2|290|104
388| 2|266|114
389| 2|249|102
390| 2|249|110
391| 2|225|109
392| 2|189|114
393| 2|148|111
394| 2|129|100
395| 2|115|104
396| 2|82|98
397| 2|54|111
398| 2|53|101
399| 2|55|108
400| 2|52|104
401| 2|55|106
402| 2|63|103
403| 2|85|106
404| 2|111|98
405| 2|126|103
406| 2|154|103
407| 2|193|106
408| 2|215|108
409| 2|231|106
410| 2|232|105
411| 2|252|110
412| 2|247|112
413| 2|235|108
414| 2|223|106
415| 2|218|111
416| 2|216|103
417| 2|183|109
418| 2|159|111
419| 2|139|102
420| 2|119|106
421| 2|99|100
422| 2|85|115
423| 2|77|104
424| 2|70|114
425| 2|70|111
426| 2|68|108
427| 2|77|110
428| 2|104|106
429| 2|115|110
430| 2|124|109
431| 2|149|108
432| 2|164|107
433| 2|183|105
434| 2|200|107
435| 2|215|108
436| 2|218|110
437| 2|229|106
438| 2|226|108
439| 2|212|110
440| 2|202|105
441| 2|206|110
442| 2|182|109
443| 2|164|106
444| 2|141|111
445| 2|136|109
446| 2|122|105
447| 2|97|103
448| 2|89|108
449| 2|92|108
450| 2|92|106
451| 2|75|102
452| 2|93|104
453| 2|97|108
454| 2|121|95
455| 2|140|107
456| 2|139|106
457| 2|158|101
458| 2|164|101
459| 2|189|101
460| 2|195|112
461| 2|193|104
462| 2|196|98
463| 2|204|109
464| 2|196|105
465| 2|184|109
466| 2|176|107
467| 2|179|100
468| 2|173|110
469| 2|147|98
470| 2|137|109
471| 2|126|105
472| 2|114|103
473| 2|107|97
474| 2|90|105
475| 2|103|109
476| 2|98|107
477| 2|99|101
478| 2|97|108
479| 2|119|107
480| 2|123|103
481| 2|141|108
482| 2|148|108
483| 2|148|107
484| 2|226|98
485| 2|238|105
486| 2|141|108
487| 2|139|104
488| 2|120|109
489| 2|200|100
490| 2|193|105
491| 2|156|104
492| 2|148|104
493| 2|164|102
494| 2|186|106
495| 2|118|107
496| 2|105|103
497| 2|120|109
498| 2|141|105
499| 2|119|107
500| 2|73|99
501| 2|93|108
502| 2|131|105
503| 2|128|108
504| 2|181|104
505| 2|64|108
506| 2|148|109
507| 2|111|101
508| 2|158|108
509| 2|174|113
510| 2|175|109
511| 2|174|107
512| 2|158|105
513| 2|189|105
514| 2|187|105
515| 2|171|113
516| 2|176|108
517| 2|174|111
518| 2|183|103
519| 2|156|104
520| 2|147|101
521| 2|154|102
522| 2|144|109
523| 2|147|106
524| 2|119|112
525| 2|138|106
526| 2|121|103
527| 2|123|105
528| 2|122|106
529| 2|123|96
530| 2|140|109
531| 2|145|105
532| 2|134|102
533| 2|162|102
534| 2|163|100
535| 2|180|106
536| 2|157|105
537| 2|162|105
538| 2|181|106
539| 2|184|101
540| 2|166|105
541| 2|158|107
542| 2|171|111
543| 2|176|102
544| 2|180|108
545| 2|137|107
546| 2|155|102
547| 2|157|103
548| 2|145|104
549| 2|136|111
550| 2|128|104
551| 2|122|98
552| 2|132|102
553| 2|124|104
554| 2|134|101
555| 2|138|105
556| 2|145|109
557| 2|137|99
558| 2|131|105
559| 2|148|97
560| 2|149|101
561| 2|136|106
562| 2|148|103
563| 2|167|107
564| 2|182|100
565| 2|168|105
566| 2|163|103
567| 2|169|106
568| 2|146|102
569| 2|151|108
570| 2|143|105
571| 2|146|105
572| 2|129|109
573| 2|124|107
574| 2|115|102
575| 2|136|103
576| 2|137|106
577| 2|113|102
578| 2|120|100
579| 2|137|100
580| 2|153|105
581| 2|134|110
582| 2|134|105
583| 2|142|109
584| 2|160|106
585| 2|148|107
586| 2|133|107
587| 2|138|105
588| 2|155|99
589| 2|146|101
590| 2|140|99
591| 2|138|111
592| 2|151|104
593| 2|160|103
594| 2|150|114
595| 2|140|101
596| 2|149|103
597| 2|148|99
598| 2|138|108
599| 2|131|105
600| 2|139|109
601| 2|134|106
602| 2|133|100
603| 2|113|98
604| 2|122|100
605| 2|138|109
606| 2|130|106
607| 2|119|109
608| 2|131|104
609| 2|146|98
610| 2|161|106
611| 2|151|107
612| 2|141|100
613| 2|154|108
614| 2|176|105
615| 2|153|109
616| 2|143|106
617| 2|140|103
618| 2|155|110
619| 2|163|102
620| 2|147|112
621| 2|129|112
622| 2|149|99
623| 2|156|101
624| 2|162|106
625| 2|213|110
626| 2|299|110
627| 2|62|112
628| 2|1|102
629| 2|72|108
630| 2|174|102
631| 2|197|105
632| 2|87|102
633| 2|47|107
634| 2|198|106
635| 2|282|110
636| 2|167|108
637| 2|82|103
638| 2|195|96
639| 2|264|105
640| 2|177|106
641| 2|76|106
642| 2|61|108
643| 2|182|103
644| 2|128|105
645| 2|29|105
646| 2|9|108
647| 2|106|104
648| 2|116|104
649| 2|9|109
650| 2|6|102
651| 2|64|110
652| 2|87|106
653| 2|175|109
654| 2|262|108
655| 2|225|102
656| 2|198|110
657| 2|94|102
658| 2|65|108
659| 2|4|112
660| 2|-22|110
661| 2|148|106
662| 2|409|95
663| 2|-14|105
664| 2|-50|97
665| 2|196|108
666| 2|107|111
667| 2|106|97
668| 2|8|75
669| 2|493|111
670| 2|0|109
671| 2|177|101
672| 2|-498|98
673| 2|631|137
674| 2|429|96
675| 2|115|102
676| 2|-666|109
677| 2|-350|103
678| 2|326|126
679| 2|1282|95
680| 2|133|81
681| 2|-157|110
682| 2|304|109
683| 2|465|104
684| 2|101|109
685| 2|-173|103
686| 2|57|102
687| 2|461|104
688| 2|354|108
689| 2|-211|108
690| 2|-208|113
691| 2|302|102
692| 2|346|111
693| 2|-14|104
694| 2|2|108
695| 2|182|102
696| 2|449|105
697| 2|92|108
698| 2|-12|100
699| 2|123|107
700| 2|383|107
701| 2|105|108
702| 2|-79|108
703| 2|-78|102
704| 2|393|104
705| 2|193|101
706| 2|0|94
707| 2|55|106
708| 2|333|100
709| 2|268|109
710| 2|-21|103
711| 2|26|108
712| 2|146|101
713| 2|360|100
714| 2|106|102
715| 2|-66|105
716| 2|140|110
717| 2|268|109
718| 2|137|103
719| 2|-26|105
720| 2|81|98
721| 2|242|102
722| 2|192|111
723| 2|64|107
724| 2|71|100
725| 2|286|103
726| 2|195|104
727| 2|31|104
728| 2|92|104
729| 2|225|102
730| 2|252|117
731| 2|79|107
732| 2|22|105
733| 2|214|110
734| 2|253|105
735| 2|93|107
736| 2|4|109
737| 2|95|115
738| 2|217|106
739| 2|146|107
740| 2|15|106
741| 2|79|107
742| 2|211|105
743| 2|166|106
744| 2|47|99
745| 2|80|102
746| 2|160|105
747| 2|169|101
748| 2|92|109
749| 2|80|98
750| 2|195|105
751| 2|228|102
752| 2|109|111
753| 2|88|106
754| 2|181|99
755| 2|204|104
756| 2|139|108
757| 2|63|111
758| 2|127|105
759| 2|215|104
760| 2|155|105
761| 2|65|112
762| 2|104|103
763| 2|175|107
764| 2|155|112
765| 2|79|99
766| 2|62|106
767| 2|156|107
768| 2|168|103
769| 2|101|105
770| 2|94|101
771| 2|167|101
772| 2|177|106
773| 2|131|103
774| 2|101|110
775| 2|152|106
776| 2|190|102
777| 2|152|101
778| 2|114|105
779| 2|149|102
780| 2|203|97
781| 2|164|97
782| 2|108|106
783| 2|114|105
784| 2|187|102
785| 2|173|106
786| 2|107|111
787| 2|104|110
788| 2|161|95
789| 2|170|107
790| 2|127|112
791| 2|87|108
792| 2|139|101
793| 2|157|101
794| 2|132|109
795| 2|102|107
796| 2|137|104
797| 2|171|108
798| 2|157|104
799| 2|125|115
800| 2|131|110
801| 2|178|109
802| 2|170|110
803| 2|130|101
804| 2|134|111
805| 2|163|101
806| 2|173|105
807| 2|148|103
808| 2|128|108
809| 2|143|103
810| 2|166|104
811| 2|139|107
812| 2|119|100
813| 2|141|117
814| 2|150|105
815| 2|138|109
816| 2|127|109
817| 2|137|98
818| 2|152|111
819| 2|135|104
820| 2|115|103
821| 2|117|101
822| 2|151|100
823| 2|154|111
824| 2|126|106
825| 2|128|113
826| 2|149|108
827| 2|159|107
828| 2|148|100
829| 2|131|103
830| 2|146|104
831| 2|157|115
832| 2|134|109
833| 2|126|107
834| 2|138|103
835| 2|154|114
836| 2|141|112
837| 2|118|101
838| 2|123|114
839| 2|132|103
840| 2|133|104
841| 2|120|105
842| 2|120|103
843| 2|122|107
844| 2|130|102
845| 2|119|103
846| 2|124|108
847| 2|131|108
848| 2|123|107
849| 2|125|109
850| 2|130|111
851| 2|136|103
852| 2|140|99
853| 2|137|99
854| 2|126|109
855| 2|139|104
856| 2|145|107
857| 2|135|104
858| 2|121|106
859| 2|122|109
860| 2|140|110
861| 2|137|104
862| 2|124|105
863| 2|109|110
864| 2|130|106
865| 2|125|107
866| 2|116|103
867| 2|110|106
868| 2|117|110
869| 2|108|107
870| 2|124|105
871| 2|121|98
872| 2|122|107
873| 2|121|106
874| 2|126|105
875| 2|134|114
876| 2|132|104
877| 2|119|113
878| 2|131|102
879| 2|135|103
880| 2|131|107
881| 2|129|108
882| 2|133|104
883| 2|129|114
884| 2|131|108
885| 2|129|93
886| 2|133|111
887| 2|129|93
888| 2|124|110
889| 2|124|100
890| 2|125|103
891| 2|141|107
892| 2|157|108
893| 2|142|107
894| 2|139|98
895| 2|142|104
896| 2|156|108
897| 2|143|107
898| 2|131|102
899| 2|133|113
900| 2|138|102
901| 2|140|106
902| 2|128|111
903| 2|124|103
904| 2|135|110
905| 2|136|104
906| 2|129|109
907| 2|115|103
908| 2|121|107
909| 2|133|108
910| 2|114|111
911| 2|129|103
912| 2|116|113
913| 2|124|107
914| 2|126|105
915| 2|107|109
916| 2|109|102
917| 2|110|108
918| 2|127|101
919| 2|101|104
920| 2|108|106
921| 2|110|107
922| 2|117|109
923| 2|94|100
924| 2|104|104
925| 2|96|108
926| 2|111|107
927| 2|107|112
928| 2|89|105
929| 2|117|108
930| 2|96|112
931| 2|112|103
932| 2|89|109
933| 2|93|113
934| 2|115|102
935| 2|89|108
936| 2|109|110
937| 2|66|112
938| 2|128|104
939| 2|65|108
940| 2|119|104
941| 2|52|104
942| 2|130|105
943| 2|73|110
944| 2|114|111
945| 2|54|114
946| 2|111|103
947| 2|52|113
948| 2|117|103
949| 2|43|110
950| 2|116|106
951| 2|18|105
952| 2|9|106
953| 2|-8|107
954| 2|28|100
955| 2|67|113
956| 2|49|107
957| 2|59|104
958| 2|72|109
959| 2|121|113
960| 2|119|105
961| 2|111|102
962| 2|119|112
963| 2|152|106
964| 2|151|105
965| 2|135|104
966| 2|122|101
967| 2|157|106
968| 2|154|112
969| 2|168|107
970| 2|210|99
971| 2|241|110
972| 2|267|106
973| 2|244|114
974| 2|227|101
975| 2|248|112
976| 2|262|108
977| 2|253|102
978| 2|237|110
979| 2|255|115
980| 2|266|111
981| 2|245|104
982| 2|177|108
983| 2|230|112
984| 2|295|114
985| 2|318|108
986| 2|273|108
987| 2|240|107
988| 2|282|107
989| 2|343|102
990| 2|308|99
991| 2|259|105
992| 2|272|102
993| 2|311|108
994| 2|315|83
995| 2|-1706|201
996| 2|-1269|91
997| 2|-154|85
998| 2|824|120
999| 2|690|114
1000| 2|56|107
1001| 2|6|106
1002| 2|1127|107
1003| 2|983|107
1004| 2|171|107
1005| 2|-124|101
1006| 2|936|125
1007| 2|-191|55
1008| 2|-1944|169
1009| 2|-249|93
1010| 0|288|93
1011| 2|1856|115
1012| 2|74|102
1013| 2|-446|101
1014| 2|684|110
1015| 2|273|46
1016| 2|-1230|71
1017| 2|-660|129
1018| 2|1034|112
1019| 2|2127|92
1020| 2|561|116
1021| 0|-810|81
1022| 2|-1744|91
1023| 2|758|126
1024| 2|163|110
1025| 2|-636|100
1026| 2|149|108
1027| 2|944|102
1028| 2|602|114
1029| 2|-239|102
1030| 2|-438|110
1031| 2|718|103
1032| 2|564|104
1033| 2|222|101
1034| 2|-383|106
1035| 2|545|105
1036| 2|667|106
1037| 2|-242|101
1038| 2|-59|105
1039| 2|-4|113
1040| 2|1035|106
1041| 2|553|107
1042| 2|309|104
1043| 2|792|107
1044| 2|1053|111
1045| 2|802|111
1046| 2|-1644|151
1047| 2|-1678|78
1048| 2|125|103
1049| 2|575|106
1050| 2|278|104
1051| 2|-676|108
1052| 2|-17|106
1053| 2|1135|112
1054| 2|660|101
1055| 2|-142|106
1056| 2|-479|107
1057| 2|1034|110
1058| 2|813|103
1059| 2|231|103
1060| 2|162|108
1061| 2|609|104
1062| 2|1300|104
1063| 2|305|105
1064| 2|-15|116
1065| 2|358|75
1066| 2|-1448|134
1067| 2|-1119|135
1068| 2|-1120|103
1069| 2|549|98
1070| 2|430|109
1071| 2|-327|106
1072| 2|-752|105
1073| 2|609|108
1074| 2|1234|112
1075| 2|77|109
1076| 2|-588|108
1077| 2|620|110
1078| 2|1185|106
1079| 2|524|107
1080| 2|-548|105
1081| 2|-275|101
1082| 2|1066|103
1083| 2|533|106
1084| 2|-340|108
1085| 2|-506|109
1086| 2|635|108
1087| 2|476|102
1088| 2|-320|102
1089| 2|-507|101
1090| 2|108|109
1091| 2|524|99
1092| 2|-285|102
1093| 2|-498|105
1094| 2|296|113
1095| 2|598|110
1096| 2|328|104
1097| 2|115|105
1098| 2|635|110
1099| 2|1217|104
1100| 2|681|108
1101| 2|61|101
1102| 2|458|106
1103| 2|1096|105
1104| 2|777|92
1105| 2|-1881|187
1106| 2|-1429|94
1107| 0|497|83
1108| 2|1324|109
1109| 2|553|117
1110| 2|-397|102
1111| 2|159|106
1112| 2|1358|109
1113| 2|824|102
1114| 2|-341|75
1115| 2|-2434|145
1116| 2|-104|146
1117| 0|690|98
1118| 2|410|98
1119| 2|-60|113
1120| 2|98|103
1121| 2|798|108
1122| 2|888|104
1123| 2|270|105
1124| 2|57|108
1125| 2|-748|7
1126| 2|-950|124
1127| 2|322|130
1128| 2|310|95
1129| 2|949|98
1130| 2|39|111
1131| 2|232|111
1132| 2|558|107
1133| 2|1145|101
1134| 2|337|110
1135| 2|-271|70
1136| 2|-1409|155
1137| 2|-553|131
1138| 2|311|87
1139| 2|240|98
1140| 2|75|115
1141| 2|420|105
1142| 2|309|109
1143| 2|900|105
1144| 2|317|97
1145| 2|223|119
1146| 2|239|115
1147| 2|756|104
1148| 2|432|118
1149| 2|-2436|50
1150| 2|-1157|120
1151| 0|-431|107
1152| 2|1231|91
